N_VICTIMAS,HH,COMUNA,EDAD,TIPO_DE_CALLE_AVENIDA,TIPO_DE_CALLE_CALLE,TIPO_DE_CALLE_GRAL PAZ,ACUSADO_AUTO,ACUSADO_BICICLETA,ACUSADO_CARGAS,ACUSADO_MOTO,ACUSADO_MULTIPLE,ACUSADO_OBJETO FIJO,ACUSADO_OTRO,ACUSADO_PASAJEROS,ACUSADO_TREN,SEXO_FEMENINO,SEXO_MASCULINO
1,4,8,19,1,0,0,1,0,0,0,0,0,0,0,0,0,1
1,1,9,70,0,0,1,0,0,0,0,0,0,0,1,0,0,1
1,7,1,30,1,0,0,1,0,0,0,0,0,0,0,0,0,1
1,0,8,18,1,0,0,0,0,0,0,0,0,0,0,0,0,1
1,5,1,29,1,0,0,0,0,0,0,0,0,0,1,0,0,1
1,18,8,30,1,0,0,0,0,0,0,0,1,0,0,0,0,1
1,19,11,29,0,1,0,1,0,0,0,0,0,0,0,0,0,1
1,15,9,18,0,0,1,1,0,0,0,0,0,0,0,0,0,1
1,1,1,22,1,0,0,0,0,1,0,0,0,0,0,0,0,1
1,11,1,16,1,0,0,1,0,0,0,0,0,0,0,0,0,1
1,5,15,16,1,0,0,1,0,0,0,0,0,0,0,0,1,0
1,22,4,19,1,0,0,1,0,0,0,0,0,0,0,0,1,0
1,16,8,59,1,0,0,0,0,0,1,0,0,0,0,0,0,1
1,9,9,65,0,1,0,0,0,0,0,0,0,0,1,0,1,0
1,16,1,59,0,1,0,1,0,0,0,0,0,0,0,0,0,1
1,23,7,34,1,0,0,1,0,0,0,0,0,0,0,0,0,1
1,6,1,41,1,0,0,1,0,0,0,0,0,0,0,0,0,1
1,4,8,34,0,0,1,1,0,0,0,0,0,0,0,0,0,1
1,7,12,30,0,1,0,0,0,0,0,0,1,0,0,0,0,1
1,9,7,34,1,0,0,1,0,0,0,0,0,0,0,0,0,1
1,10,1,50,1,0,0,0,0,1,0,0,0,0,0,0,0,1
1,17,12,38,1,0,0,0,0,0,0,0,0,0,1,0,0,1
1,12,8,21,0,0,1,0,0,0,0,0,0,0,1,0,0,1
1,12,4,52,1,0,0,0,0,0,0,0,0,0,1,0,0,1
1,6,3,34,1,0,0,0,0,0,0,0,0,0,1,0,0,1
1,0,4,36,0,1,0,0,0,0,0,0,0,0,1,0,0,1
1,11,7,20,1,0,0,0,0,0,1,0,0,0,0,0,0,1
1,8,8,29,0,0,1,0,0,0,0,0,0,0,1,0,0,1
1,1,3,20,1,0,0,0,0,0,0,0,0,0,1,0,0,1
2,11,7,54,1,0,0,0,0,1,0,0,0,0,0,0,0,1
2,11,7,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1
1,18,8,56,1,0,0,0,0,1,0,0,0,0,0,0,1,0
1,19,7,24,1,0,0,0,0,0,0,1,0,0,0,0,0,1
1,10,13,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
1,5,1,41,0,1,0,0,0,0,0,0,0,0,1,0,0,1
1,17,15,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0
1,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,9,8,78,1,0,0,0,0,0,0,0,0,0,1,0,0,1
1,4,4,36,1,0,0,0,0,1,0,0,0,0,0,0,0,1
1,20,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
